original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"KOOLTÁR UTCA 3.,"" BUDAPEST"",47.4659567,18.982674,""Budapest, Kőoltár utca 3, 1112, Magyarország"",,3,Kőoltár utca,,1112,XI. kerület,Spanyolrét,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FELSOHATÁR UTCA 2/B,"" BUDAPEST"",47.46401365,18.982268750000003,""Budapest, Felsőhatár utca 2/B, 1112, Magyarország"",,2/B,Felsőhatár utca,Pest vármegye,1112,XI. kerület,Kertváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PARÁDI ÚT 24.,"" MÁTRAFÜRED"",47.83191775,19.96822379956439,""Avar Hotel, Gyöngyös, Parádi út 24, 3232, Magyarország"",Avar Hotel,24,Parádi út,Heves vármegye,3232,,Mátrafüred,,,Gyöngyös,Észak-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÖRÖSVÁRI ÚT 95.,"" BUDAPEST"",47.5461468,19.0333762,""Budapest, Vörösvári út 95, 1033, Magyarország"",,95,Vörösvári út,Budapest,1033,,Óbuda,,,Budapest,Közép-Magyarország,Magyarország,hu,1,,,"
"MALÉTER PÁL UTCA 5.,"" BUDAPEST"",47.4668365,19.00781899176077,""Budapest, Maléter Pál utca 5, 1118, Magyarország"",,5,Maléter Pál utca,,1118,XI. kerület,Sasad,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HUNOR UTCA 24-26.,"" BUDAPEST"",47.547020950000004,19.033486225559848,""Budapest, Hunor utca 24-26, 1035, Magyarország"",,24-26,Hunor utca,,1035,III. kerület,Óbuda,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ANGOL UTCA 30.,"" BUDAPEST"",47.5141385,19.117268099999997,""Budapest, Angol utca 30, 1148, Magyarország"",,30,Angol utca,,1148,XIV. kerület,Kiszugló,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENT LÁSZLÓ UTCA 128.,"" BUDAPEST"",48.1090824,20.7768772,""Miskolc, Szent László utca, 3525, Magyarország"",Szent László utca,,Szent László utca,Borsod-Abaúj-Zemplén vármegye,3525,Jókai-lakótelep,Vologda,,,Miskolc,Észak-Magyarország,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSALÁN ÚT 41.,"" BUDAPEST"",47.52948645,18.989768150000003,""Budapest, Csalán út 41, 1025, Magyarország"",,41,Csalán út,,1025,II. kerület,Törökvész,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSANÁDY UTCA 4/A,"" BUDAPEST"",47.51575555,19.058457678354834,""Westend ház, Budapest, Csanády utca 4A, 1132, Magyarország"",Westend ház,4A,Csanády utca,,1132,XIII. kerület,Újlipótváros,,,Budapest,Közép-Magyarország,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KELENFÖLDI ÚT 30.,"" BUDAPEST"",47.46703505,19.02308728876349,""Budapest, Kelenföldi út 30, 1115, Magyarország"",,30,Kelenföldi út,,1115,XI. kerület,Kelenföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKE TÉR 1.,"" BUDAPEST"",47.4212316,19.070777926738796,""Budapest, Béke tér 1, 1212, Magyarország"",,1,Béke tér,,1212,XXI. kerület,Csepel-Erdőalja,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BAKA UTCA 6.,"" BUDAPEST"",47.512222,19.026174221297275,""Budapest, Baka utca 6, 1024, Magyarország"",,6,Baka utca,,1024,II. kerület,Országút,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZÉCHENYI ISTVÁN U. 41.,"" BALATONFÜRED"",47.9062203,20.3719225,""Eger, Széchenyi István utca 41, 3300, Magyarország"",,41,Széchenyi István utca,Heves vármegye,3300,Fenstherm Lakópark,Belváros,,,Eger,Észak-Magyarország,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÁROGATÓ UTCA 6.,"" BUDAPEST"",47.6675087,17.6641327,""Győr, Tárogató utca 6, Magyarország"",,6,Tárogató utca,Győr-Moson-Sopron,,,,,,Győr,Nyugat-Dunántúl,Magyarország,hu,1,,,"
"HONVÉD UTCA 7.,"" BALATONFÜRED"",47.5380464,21.621234,""Debrecen, Honvéd utca 7, 4026, Magyarország"",,7,Honvéd utca,Hajdú-Bihar vármegye,4026,,Libakert,,,Debrecen,Észak-Alföld,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CSENGERY UTCA 31.,"" BUDAPEST"",47.5050932,19.067266,""Budapest, Csengery utca 31, 1067, Magyarország"",,31,Csengery utca,,1067,VI. kerület,Terézváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
KATONA JÓZSEF UTCA 6.
"THÖKÖLY ÚT 74.,"" BUDAPEST"",47.5363903,19.13199775,""Budapest, Thököly út 74, 1158, Magyarország"",,74,Thököly út,,1158,XV. kerület,Pestújhely,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KEREKES UTCA 11.,"" BUDAPEST"",47.59690405,16.90445420556454,""Petőháza, Kerekes utca 11, 9443, Magyarország"",,11,Kerekes utca,Győr-Moson-Sopron vármegye,9443,,,,,Petőháza,Nyugat-Dunántúl,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZEMLOHEGY UTCA 34.,"" BUDAPEST"",47.521653549999996,19.029413843233943,""Budapest, Szemlőhegy utca 34, 1025, Magyarország"",,34,Szemlőhegy utca,,1025,II. kerület,Szemlőhegy,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LISZT FERENC SÉTÁNY 2. I. ÉP.,"" SIÓFOK"",47.780922,19.122627,""Vác, Liszt Ferenc sétány, 2600, Magyarország"",,,Liszt Ferenc sétány,Pest,2600,,Belváros,,,Vác,Közép-Magyarország,Magyarország,hu,0.6896551724137931,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ISTENHEGYI ÚT 45-47,"" BUDAPEST"",47.5032921,19.0033463,""Budapest, Istenhegyi út 45-47, 1125, Magyarország"",,45-47,Istenhegyi út,,1125,XII. kerület,Istenhegy,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DOB UTCA 19.,"" BUDAPEST"",47.4978554,19.0609915,""Budapest, Dob utca 19, 1074, Magyarország"",,19,Dob utca,,1074,VII. kerület,Erzsébetváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KESZKENO UTCA 18.,"" BUDAPEST"",47.5408853,19.088712390462426,""Budapest, Keszkenő utca 18, 1131, Magyarország"",,18,Keszkenő utca,,1131,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SPORT ÚT 14.,"" HOLLÓKO"",48.078466,19.5097681,""Szécsény, Sport út 14, 3170, Magyarország"",,14,Sport út,Nógrád,3170,,,,,Szécsény,Észak-Magyarország,Magyarország,hu,1,,,"
"PINTY UTCA 13.,"" BUDAPEST"",47.49017,18.9865475,""Budapest, Pinty utca 13, 1121, Magyarország"",,13,Pinty utca,,1121,XII. kerület,Széchenyihegy,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SASADI ÚT 176.,"" BUDAPEST"",47.480020550000006,18.999970573568568,""Budapest, Sasadi út 176, 1112, Magyarország"",,176,Sasadi út,,1112,XI. kerület,Sasad,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GYERTYALÁNG UTCA 2.,"" BUDAPEST"",47.5870424,19.0851753,""Budapest, Gyertyaláng utca 2, 1044, Magyarország"",,2,Gyertyaláng utca,,1044,IV. kerület,Megyer Kertváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁROSHÁZ UTCA 12-14.,"" BUDAPEST"",46.6450618,21.2755052,""Gyula, Városház utca 13, 5700, Magyarország"",,13,Városház utca,Békés,5700,,Magyarváros,,,Gyula,Dél-Alföld,Magyarország,hu,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GÁBOR ÁRON KÖZ 12.,"" BUDAPEST"",47.5226829,19.01094512535817,""Budapest, Gábor Áron köz 12, 1026, Magyarország"",,12,Gábor Áron köz,,1026,II. kerület,Vérhalom,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKE ÚT 9.,"" POMÁZ"",47.678342900000004,19.128299957289165,""Göd, Béke út 9, 2131, Magyarország"",,9,Béke út,Pest vármegye,2131,,Alsógöd,,,Göd,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÍMÁR UTCA 33.,"" BUDAPEST"",47.5344283,19.0369604,""Budapest, Tímár utca 33, 1034, Magyarország"",,33,Tímár utca,Budapest,1034,,Pasaret,,,Budapest,Közép-Magyarország,Magyarország,hu,1,,,"
"ZSINÓR UTCA 39.,"" BUDAPEST"",47.5353269,19.089358,""Budapest, Zsinór utca 39, 1135, Magyarország"",,39,Zsinór utca,,1135,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NYÁRFA UTCA 4/A. HRSZ: 995/12.,RAJKA,47.7981035,18.8884632,""Pilismarót, Nyárfa utca 4, 2028, Magyarország"",,4,Nyárfa utca,Komárom-Esztergom vármegye,2028,,,,,Pilismarót,Közép-Dunántúl,Magyarország,hu,0.5383333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MESTER UT 85.,"" HRSZ.: 38021/26, BUDAPEST"",48.2943219,20.7497994,""Edelény, Mester út, 3780, Magyarország"",Mester út,,Mester út,Borsod-Abaúj-Zemplén vármegye,3780,,Finke,,,Edelény,Észak-Magyarország,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MESTER U 85/B,"" HRSZ.: 38021/35, BUDAPEST"",47.5340974,21.6131351,""Debrecen, Mester utca, 4026, Magyarország"",Mester utca,,Mester utca,Hajdú-Bihar vármegye,4026,,Mesterfalva,,,Debrecen,Észak-Alföld,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FISCHER ISTVÁN ÚT 121.,"" BUDAPEST"",47.56200265,19.0907493011284,""Okmányiroda, Budapest, István út 15, 1042, Magyarország"",Okmányiroda,15,István út,Budapest,1042,IV. kerület,Újpest Városközpont,,,Budapest,Közép-Magyarország,Magyarország,hu,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BELTERÜLET,"" HRSZ.: 16947., SZOMBATHELY"",,,,,,,,,,,,,,,,,,,,"
"KISRÉT UTCA 1.,"" VERESEGYHÁZ"",47.6469768,19.2541,""Veresegyház, Kisrét utca 1, 2112, Magyarország"",,1,Kisrét utca,Pest vármegye,2112,,Csonkás,,,Veresegyház,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HÉVÍZI ÚT 3/A,"" BUDAPEST"",47.5480966,19.033289717624022,""Budapest, Hévízi út 3/a, 1033, Magyarország"",,3/a,Hévízi út,,1033,III. kerület,Óbuda,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÖZTELEK UTCA 6.,"" BUDAPEST"",47.4866938,19.0654716,""Ekata, Budapest, Köztelek utca 6, 1092, Magyarország"",Ekata,6,Köztelek utca,,1092,IX. kerület,Belső-Ferencváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BARTÓK BÉLA ÚT 43-47.,"" BUDAPEST"",47.4785941,19.0490675,""Budapest, Bartók Béla út 43-47, 1114, Magyarország"",,43-47,Bartók Béla út,,1114,XI. kerület,Szentimreváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 76-78.,"" BUDAPEST"",47.5743242,19.0814899,""Budapest, Váci út 77, 1047, Magyarország"",,77,Váci út,Budapest,1047,,Kaposztasmegyer,,,Budapest,Közép-Magyarország,Magyarország,hu,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 76.,"" BUDAPEST"",47.5251853,19.0628086,""Budapest, Váci út 76, 1133, Magyarország"",,76,Váci út,,1133,XIII. kerület,Vizafogó,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAFOKI ÚT 91-93.,"" BUDAPEST"",47.4692373,19.0528676,""Metropolitan IPWest I, Budapest, Budafoki út 91-93, 1117, Magyarország"",Metropolitan IPWest I,91-93,Budafoki út,,1117,XI. kerület,Kelenföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓCZI UTCA 70-72.,"" BUDAPEST"",47.4476772,19.1090307,""Budapest, Rákóczi utca 71, Magyarország"",,71,Rákóczi utca,Budapest,,,Gubacsi Dulo,,,Budapest,Közép-Magyarország,Magyarország,hu,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KAPÁS UTCA 6-12.,"" BUDAPEST"",47.5079263,19.0325825,""Svédország Nagykövetsége, Budapest, Kapás utca 6-12, 1027, Magyarország"",Svédország Nagykövetsége,6-12,Kapás utca,,1027,II. kerület,Víziváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAFOKI ÚT 91-93. BUDAPEST,,47.4692373,19.0528676,""Metropolitan IPWest I, Budapest, Budafoki út 91-93, 1117, Magyarország"",Metropolitan IPWest I,91-93,Budafoki út,,1117,XI. kerület,Kelenföld,1,1,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BARTÓK BÉLA ÚT 43-47. BUDAPEST,,47.4785941,19.0490675,""Budapest, Bartók Béla út 43-47, 1114, Magyarország"",,43-47,Bartók Béla út,,1114,XI. kerület,Szentimreváros,1,1,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BESZTERCE UTCA 21.,"" BUDAPEST"",47.4332294,19.1631903,""Budapest, Beszterce utca 21, 1194, Magyarország"",,21,Beszterce utca,,1194,XIX. kerület,Kispest,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CORVIN SÉTÁNY 9.,"" BUDAPEST"",47.4859878,19.0780351,""Budapest, Corvin sétány, 1083, Magyarország"",Corvin sétány,,Corvin sétány,,1083,VIII. kerület,Corvin negyed,,,Budapest,Közép-Magyarország,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 20-26.,"" BUDAPEST"",47.5142072,19.0581847,""Cetelem, Budapest, Váci út 20-26, 1132, Magyarország"",Cetelem,20-26,Váci út,,1132,XIII. kerület,Újlipótváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÖRÖKVÉSZ ÚT 120.,"" BUDAPEST"",47.5322458,18.9951053,""Budapest, Törökvész út 120/I, 1025, Magyarország"",,120/I,Törökvész út,,1025,II. kerület,Törökvész,,,Budapest,Közép-Magyarország,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HEGYALJA ÚT 15.,"" BUDAPEST"",47.48901925,19.033014478983517,""Budapest, Hegyalja út 15, 1016, Magyarország"",,15,Hegyalja út,,1016,I. kerület,Krisztinaváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"APÁLY UTCA 3.,"" BUDAPEST"",47.5275414,19.0691125,""Budapest, Apály utca 3, 1134, Magyarország"",,3,Apály utca,,1134,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ANGYALFÖLDI ÚT 25.,"" BUDAPEST"",47.5277907,19.0669393,""Budapest, Angyalföldi út 25, 1134, Magyarország"",,25,Angyalföldi út,,1134,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KLAPKA UTCA 4-6. A,"" BUDAPEST"",47.5271394,19.0667293,""Modell & hobby, Budapest, Klapka utca 4-6, 1134, Magyarország"",Modell & hobby,4-6,Klapka utca,Budapest,1134,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KLAPKA UTCA 4-6. B,"" BUDAPEST"",47.5271394,19.0667293,""Modell & hobby, Budapest, Klapka utca 4-6, 1134, Magyarország"",Modell & hobby,4-6,Klapka utca,Budapest,1134,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKE UTCA 56.,"" VELENCE"",47.6253174,18.904596,""Pilisvörösvár, Béke utca 56, 2085, Magyarország"",,56,Béke utca,Pest vármegye,2085,,Erzsébetliget,,,Pilisvörösvár,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SAS UTCA 24.,BUDAPEST,47.44248005,19.1174735,""Budapest, Sas utca 24, 1205, Magyarország"",,24,Sas utca,,1205,XX. kerület,Erzsébetfalva,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GUBACSI ÚT 79.,"" BUDAPEST"",47.4467743,19.0950339,""Budapest, Gubacsi út 79, 1097, Magyarország"",,79,Gubacsi út,Budapest,1097,,Gubacsi Dulo,,,Budapest,Közép-Magyarország,Magyarország,hu,1,,,"
"VAS UTCA 15/B.,BUDAPEST,47.4937205,19.066576,""Budapest, Vas utca 15/b, 1088, Magyarország"",,15/b,Vas utca,,1088,VIII. kerület,Palotanegyed,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KARINTHY FRIGYES ÚT 3.,"" BUDAPEST"",47.4772305,19.0486629,""Budapest, Karinthy Frigyes út 3, 1117, Magyarország"",,3,Karinthy Frigyes út,,1117,XI. kerület,Lágymányos,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ANDRÁSSY ÚT 114.,"" BUDAPEST"",47.512608549999996,19.073613418652343,""Budapest, Andrássy út 114, 1062, Magyarország"",,114,Andrássy út,,1062,VI. kerület,Terézváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÖVENY UTCA 4-6.,"" BUDAPEST"",47.9538639,21.7748561,""Nyíregyháza, Föveny utca, 4551, Magyarország"",Föveny utca,,Föveny utca,Szabolcs-Szatmár-Bereg vármegye,4551,Horváth-kert lakópark,,,,Nyíregyháza,Észak-Alföld,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁROSLIGETI FASOR 38.,"" BUDAPEST"",47.5105529,19.077606256563627,""Budapest, Városligeti fasor 38, 1068, Magyarország"",,38,Városligeti fasor,,1068,VI. kerület,Terézváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÉVAY UTCA 22.,"" BUDAPEST"",47.502223900000004,19.0575016007323,""Budapest, Révay utca 22, 1065, Magyarország"",,22,Révay utca,,1065,VI. kerület,Terézváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BARSI ERNO UTCA 2.,"" GYOR"",47.6620459,17.664386,""Győr, Barsi Ernő utca, 9028, Magyarország"",Barsi Ernő utca,,Barsi Ernő utca,Győr-Moson-Sopron vármegye,9028,,Szabadhegy,,,Győr,Nyugat-Dunántúl,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÓVODA UTCA 4.,"" TÖRÖKBÁLINT"",45.95724105,18.09301979205679,""Baksa, Óvoda utca 4, 7834, Magyarország"",,4,Óvoda utca,Baranya vármegye,7834,,,,,Baksa,Dél-Dunántúl,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KUCSMA UTCA 12.,"" BUDAPEST"",47.545093275,19.09027035,""Budapest, Kucsma utca 12, 1131, Magyarország"",,12,Kucsma utca,,1131,XIII. kerület,Angyalföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZERVITA TÉR 8. IRODAHÁZ,"" BUDAPEST"",47.4956496,19.0529934,""Szervita Square Building, Budapest, Szervita tér 8, 1052, Magyarország"",Szervita Square Building,8,Szervita tér,Budapest,1052,V. kerület,Pest,,,Budapest,Közép-Magyarország,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HELTAI JENO TÉR 1.,"" BUDAPEST"",47.5986584,19.0570248,""Budapest, Heltai Jenő tér 1, 1039, Magyarország"",,1,Heltai Jenő tér,,1039,III. kerület,Békásmegyer,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PAULAY EDE UTCA 45,"" BUDAPEST"",47.50211975,19.060620238894234,""Budapest, Paulay Ede utca 45, 1061, Magyarország"",,45,Paulay Ede utca,,1061,VI. kerület,Terézváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓCZI ÚT 12.,"" BUDAPEST"",47.49536315,19.06321512376683,""Budapest, Rákóczi út 12, 1072, Magyarország"",,12,Rákóczi út,,1072,VII. kerület,Erzsébetváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NADAPI ÚT 38.,"" VELENCE"",47.2427207,18.640148,""Velence, Nadapi út, 2481, Magyarország"",Nadapi út,,Nadapi út,Fejér vármegye,2481,Rózsa Lakópark,Bencehegy,,,Velence,Közép-Dunántúl,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ALÍZ UTCA 3.,"" BUDAPEST"",47.459312499999996,19.048047335402906,""Office Garden IV., Budapest, Alíz utca 3, 1117, Magyarország"",Office Garden IV.,3,Alíz utca,,1117,XI. kerület,Kelenföld,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DOB UTCA 34-36.,"" BUDAPEST"",47.4992187,19.0623293,""Budapest, Dob utca 35, 1072, Magyarország"",,35,Dob utca,Budapest,1072,,Belvaros,,,Budapest,Közép-Magyarország,Magyarország,hu,0.7,,,"
"SZENT ISTVÁN TÉR 1.,"" BUDAPEST"",47.4291721,19.039385030122965,""Budapest, Szent István tér 1, 1221, Magyarország"",,1,Szent István tér,,1221,XXII. kerület,Budafok,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÓPART UTCA 19.,"" TATA"",47.23544785,18.65722395739951,""Velence, Tópart utca 19, 2481, Magyarország"",,19,Tópart utca,Fejér vármegye,2481,,Ófalu,,,Velence,Közép-Dunántúl,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENT ISTVÁN KIRÁLY U. 142.,"" MOSONM."",47.853161,17.280717,""Mosonmagyaróvár, Szent István király út 142, 9200, Magyarország"",,142,Szent István király út,Győr-Moson-Sopron,9200,,,,,Mosonmagyaróvár,Nyugat-Dunántúl,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁGÓHÍD UTCA 5/A,"" F ÉPÜLET, BUDAPEST"",47.4725541,19.0788531,""Budapest, Vágóhíd utca 5/A, 1097, Magyarország"",,5/A,Vágóhíd utca,,1097,IX. kerület,Középső-Ferencváros,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NÁDASDY UTCA 10.,"" BUDAPEST"",47.40103175,16.710307404658387,""Csepreg, Nádasdy utca 10, 9735, Magyarország"",,10,Nádasdy utca,Vas vármegye,9735,,,,,Csepreg,Nyugat-Dunántúl,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NÁDASDY UTCA 12.,"" BUDAPEST"",47.4005802,16.71032989710649,""Csepreg, Nádasdy utca 12, 9735, Magyarország"",,12,Nádasdy utca,Vas vármegye,9735,,,,,Csepreg,Nyugat-Dunántúl,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PASKÁL UTCA 16.,"" BUDAPEST"",47.52341455,19.13327936050785,""Budapest, Paskál utca 16, 1141, Magyarország"",,16,Paskál utca,,1141,XIV. kerület,Alsórákos,,,Budapest,Közép-Magyarország,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
